IJK,XC,YC,ZC,XINC,YINC,ZINC,XMORIG,YMORIG,ZMORIG,NX,NY,NZ,SG,AU,AG,CLASS
2949857,775832.5,9107802.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
2978961,775837.5,9107797.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
2978962,775837.5,9107797.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
2979069,775837.5,9107802.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
2979070,775837.5,9107802.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
2979178,775837.5,9107807.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
2979179,775837.5,9107807.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3008065,775842.5,9107792.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3008172,775842.5,9107797.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3008173,775842.5,9107797.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3008174,775842.5,9107797.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3008281,775842.5,9107802.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3008282,775842.5,9107802.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3008389,775842.5,9107807.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3008390,775842.5,9107807.5,3587.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3008391,775842.5,9107807.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3008498,775842.5,9107812.5,3592.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
3008499,775842.5,9107812.5,3597.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3008500,775842.5,9107812.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3008607,775842.5,9107817.5,3602.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3037275,775847.5,9107792.5,3562.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.828,19.4,3
3037276,775847.5,9107792.5,3567.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3037277,775847.5,9107792.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3037384,775847.5,9107797.5,3572.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3037385,775847.5,9107797.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3037386,775847.5,9107797.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.83,19.3,3
3037492,775847.5,9107802.5,3577.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.4,3
3037493,775847.5,9107802.5,3582.5,5,5,5,775330,9106460,3160,371,273,107,2.37,0.829,19.3,3
