Li,Ls,Mc,Tonelaje,Tonelaje_Mg,Ley_Media
0.0,0.1,0.05,6358117.5,12595068.75,0.47277241525447355
0.1,0.2,0.15000000000000002,6236951.25,12230088.75,0.46684552587115447
0.2,0.30000000000000004,0.25,5993137.5,11793120.0,0.4495801060608595
0.30000000000000004,0.4,0.35000000000000003,5799982.5,11390516.25,0.42183253313704827
0.4,0.5,0.45,5590533.75,10838010.0,0.3843121100088663
0.5,0.6,0.55,5247476.25,10126713.75,0.33841151278919984
0.6,0.7,0.6499999999999999,4879237.5,9415713.75,0.28599266161455633
0.7,0.7999999999999999,0.75,4536476.25,8775221.25,0.22839260919751744
0.7999999999999999,0.8999999999999999,0.8499999999999999,4238745.0,8074886.25,0.166451979858474
0.8999999999999999,0.9999999999999999,0.95,3836141.25,7425210.0,0.10185508919261031
0.9999999999999999,1.0999999999999999,1.0499999999999998,3589068.75,3589068.75,0.0354672365625575
