X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
1697.682161,4963.496673,2176.795399,DDH-001,1.08,295.2716691,-24.22983548,0,89.42,90.5,20.849644,7.812,6.532,1
1697.00184,4963.817848,2177.133977,DDH-001,0.57,295.2716691,-24.22983548,0,90.5,91.07,15.211116,1.944,0.604,1
1696.354504,4964.12345,2177.45614,DDH-001,1,295.2716691,-24.22983548,0,91.07,92.07,7.68,1.648,0.368,1
1721.974638,4977.96565,2176.21504,DDH-002,1.16,314.028978,-27.55228615,0,77.86,79.02,19.700496,1.716,2.748,1
1721.55711,4978.36926,2176.518015,DDH-002,0.15,314.028978,-27.55228615,0,79.02,79.17,2.16,0.068,0.024,1
1721.311693,4978.606497,2176.6961,DDH-002,0.62,314.028978,-27.55228615,0,79.17,79.79,4.98,0.22,0.448,1
1720.846356,4979.056322,2177.033767,DDH-002,0.84,314.028978,-27.55228615,0,79.79,80.63,0.84,0.084,0.108,1
1720.342773,4979.54312,2177.399188,DDH-002,0.74,314.028978,-27.55228615,0,80.63,81.37,12.93013333,0.624,0.464,1
1719.845564,4980.023755,2177.759983,DDH-002,0.82,314.028978,-27.55228615,0,81.37,82.19,3.06,1.712,0.224,1
1719.494968,4980.362664,2178.01439,DDH-002,0.28,314.028978,-27.55228615,0,82.19,82.47,11.2412,1.624,0.944,1
1726.201645,4973.187716,2115.196641,DDH-003,0.84,313.5634163,20.2517328,0,66.55,67.39,0.48,0.104,0.028,1
1725.732571,4973.633839,2114.9578,DDH-003,0.54,313.5634163,20.2517328,0,67.39,67.93,0.42,0.052,0.032,1
1755.299518,4982.116895,2114.893743,DDH-004,1,323.7852988,29.48387876,0,46.39,47.39,13.00333333,1.172,1.472,1
1754.785219,4982.819217,2114.401564,DDH-004,1,323.7852988,29.48387876,0,47.39,48.39,14.07,0.312,0.416,1
1754.191204,4983.630399,2113.833098,DDH-004,1.31,323.7852988,29.48387876,0,48.39,49.7,8.7,0.144,0.208,1
1753.545758,4984.511814,2113.215414,DDH-004,1.2,323.7852988,29.48387876,0,49.7,50.9,1.86,0.112,0.116,1
1753.108604,4985.108788,2112.797062,DDH-004,0.5,323.7852988,29.48387876,0,50.9,51.4,0.66,0.092,0.072,1
1752.869455,4985.435368,2112.568199,DDH-004,0.43,323.7852988,29.48387876,0,51.4,51.83,17.333164,0.884,0.672,1
1752.519732,4985.912947,2112.233518,DDH-004,0.93,323.7852988,29.48387876,0,51.83,52.76,7.8,0.264,0.288,1
1752.154579,4986.411596,2111.884071,DDH-004,0.49,323.7852988,29.48387876,0,52.76,53.25,10.925184,0.704,1.064,1
1751.797142,4986.89971,2111.542007,DDH-004,0.9,323.7852988,29.48387876,0,53.25,54.15,1.62,0.256,0.396,1
1751.24427,4987.654706,2111.012914,DDH-004,1.25,323.7852988,29.48387876,0,54.15,55.4,14.0608,0.62,1.2,1
1789.78419,5015.708912,2178.760182,DDH-005,1.01,11.4676269,-24.1841931,0,94.95,95.96,3.48,0.34,0.428,1
1789.942884,5016.491182,2179.118644,DDH-005,0.74,11.4676269,-24.1841931,0,95.96,96.7,20.277036,1.664,2.6,1
1790.09251,5017.22875,2179.456623,DDH-005,0.91,11.4676269,-24.1841931,0,96.7,97.61,13.44853333,0.484,0.764,1
1869.965292,5068.411129,2229.918964,DDH-006,1,342.9169131,-21.15717182,0,73.85,74.85,22.38059488,0.985692,0.413356,1
1869.670788,5069.369435,2230.306962,DDH-006,1.15,342.9169131,-21.15717182,0,74.85,76,20.14668004,0.678572,0.31746,1
1869.376284,5070.327741,2230.694959,DDH-006,1,342.9169131,-21.15717182,0,76,77,24.82833923,0.637876,0.384312,1
1869.102327,5071.219189,2231.055886,DDH-006,1,342.9169131,-21.15717182,0,77,78,22.68367152,0.742948,0.437028,1
1868.82837,5072.110636,2231.416814,DDH-006,1,342.9169131,-21.15717182,0,78,79,14.6847815,2.939548,2.216516,1
1868.554413,5073.002084,2231.777741,DDH-006,1,342.9169131,-21.15717182,0,79,80,18.84345294,16.63522,6.136008,1
1868.280456,5073.893532,2232.138669,DDH-006,1,342.9169131,-21.15717182,0,80,81,19.27816523,2.11976,1.56088,1
1868.054442,5074.628976,2232.436434,DDH-006,0.65,342.9169131,-21.15717182,0,81,81.65,10.14681094,3.39976,2.307692,1
1867.869521,5075.230703,2232.68006,DDH-006,0.7,342.9169131,-21.15717182,0,81.65,82.35,13.41528338,0.652348,0.986476,1
1900.157584,5089.686878,2235.024821,DDH-007,0.4,5.4923246,-19.98668831,0,94.05,94.45,11.04078,0.914128,0.585676,1
1900.207056,5090.20138,2235.212812,DDH-007,0.7,5.4923246,-19.98668831,0,94.45,95.15,5.1948,8.12672,0.275484,1
1900.265522,5090.809427,2235.434983,DDH-007,0.6,5.4923246,-19.98668831,0,95.15,95.75,4.40652,0.996428,0.158792,1
