X,Y,Z,BHID,LENGTH,A0,B0,C0,FROM,TO,Zn,Ag,Pb,RADIUS
2424.763433,5388.862603,2382.197942,DDH-133,1.62,322,-25,0,42.25,43.87,4.8,10.538092,0.196,1
2434.296279,5386.55553,2379.570943,DDH-134,0.96,333,-26,0,35.04,36,1.26,2.15612,0.028,1
2434.059613,5387.020012,2379.825198,DDH-134,0.2,333,-26,0,36,36.2,0.12,1.543236,0.0016,1
2433.855591,5387.420428,2380.044384,DDH-134,0.8,333,-26,0,36.2,37,1.14,2.755776,0.044,1
2433.535277,5388.04908,2380.388505,DDH-134,0.77,333,-26,0,37,37.77,1.74,10.842332,0.068,1
2433.343496,5388.425471,2380.59454,DDH-134,0.17,333,-26,0,37.77,37.94,1.02,4.4842,0.028,1
2433.184359,5388.737795,2380.765505,DDH-134,0.61,333,-26,0,37.94,38.55,13.87,31.160128,0.596,1
2432.976256,5389.146219,2380.989074,DDH-134,0.41,333,-26,0,38.55,38.96,9.12,34.863892,0.512,1
2432.813039,5389.466552,2381.164422,DDH-134,0.39,333,-26,0,38.96,39.35,5.28,11.60072,0.128,1
2432.488644,5390.103213,2381.512927,DDH-134,1.2,333,-26,0,39.35,40.55,2.34,6.406632,0.108,1
2432.17445,5390.719853,2381.850473,DDH-134,0.34,333,-26,0,40.55,40.89,0.78,1.97534,0.044,1
2431.878618,5391.300456,2382.168292,DDH-134,1.11,333,-26,0,40.89,42,2.1,10.220628,0.048,1
2431.529741,5391.985166,2382.5431,DDH-134,0.6,333,-26,0,42,42.6,1.98,2.63232,0.02,1
3015.842434,5924.695925,2006.476347,DDH-135,0.16,322.57,-36.29,0,121.44,121.6,0.96,2.656,0.072,1
3015.663621,5924.929549,2006.692381,DDH-135,0.57,322.57,-36.29,0,121.6,122.17,0.72,3.972,0.084,1
2884.934335,5803.700276,1913.47382,DDH-136,0.56,155.84,34.71,0,31.47,32.03,0.06,0.108,0.004,1
2896.165297,5818.838097,1947.163638,DDH-137,0.14,126.52,-34.55,0,25.31,25.45,0.12,0.064,0.004,1
2911.371242,5829.203231,1916.601382,DDH-138,0.44,94.91,25.21,0,34.85,35.29,0.06,0.108,0.004,1
3007.992566,5901.121693,1827.789134,DDH-139,1,309.89,35.06,0,65.1,66.1,0.06,0.032,0.0016,1
3007.647136,5901.410416,1827.473195,DDH-139,0.1,309.89,35.06,0,66.1,66.2,0.06,0.06,0.0016,1
2437.090377,5396.824004,2460.994,DDH-140,0.66,345,0,0,109.9,110.56,2.04,3.990364,0.084,1
1812.766097,4924.485438,2140.562488,DDH-141,0.15,192.488,-17.2887,0,4.55,4.7,0.18,0.208,0.02,1
1812.466088,4923.262613,2135.112563,DDH-142,1,192.4408,23.3853,0,6.16,7.16,8.88,4.484,3.048,1
1812.329651,4922.644163,2134.838694,DDH-142,0.38,192.4408,23.3853,0,7.16,7.54,13.0972,1.428,0.488,1
1812.253524,4922.299085,2134.685882,DDH-142,0.39,192.4408,23.3853,0,7.54,7.93,13.9712,2.668,1.332,1
1750.194641,4878.002929,2138.886308,DDH-143,0.75,205.7977417,-0.05722222,0,52,52.75,12.61333333,4.336,1.64,1
1749.95746,4877.512247,2138.886852,DDH-143,0.34,205.7977417,-0.05722222,0,52.75,53.09,9.72,2.988,0.304,1
2667.383919,5639.932706,2202.33,DDH-144,0.3,335,0,0,62.9,63.2,0.12,0.141096,0.004,1
2628.698074,5561.494248,1929.18,DDH-145,0.43,341,0,0,100.2,100.63,0.06,0.030864,0.004,1
2628.162514,5563.049626,1929.18,DDH-145,0.6,341,0,0,101.76,102.36,0.06,0.022048,0.004,1
2528.176339,5469.274548,1929.18,DDH-146,0.69,318,0,0,114.78,115.47,0.06,0.10582,0.004,1
2666.089173,5598.032299,1930.15,DDH-147,0.28,325,0,0,89.37,89.65,0.006,0.044092,0.0016,1
1840.853421,4921.645794,2076.882823,DDH-148,0.8,12.66475039,-0.53525018,0,105.5,106.3,14.07535803,1.231016,1.318944,1
1841.034306,4922.450683,2076.890515,DDH-148,0.85,12.66681288,-0.53318768,0,106.3,107.15,11.38632,0.511388,0.663204,1
1751.015699,4879.297554,2144.391215,DDH-149,1,285.16035353,-9.66088785,0,26.85,27.85,0.06,0.048,0.004,1
1750.064262,4879.555678,2144.55896,DDH-149,1,285.19754627,-9.65253344,0,27.85,28.85,0.05952,0.043668,0.003968,1
1972.823771,5014.997413,1983.73127,DDH-150,0.3,157.64049546,16.36083328,0,66,66.3,7.78134,1.428572,0.86592,1
1865.341569,4931.746497,1989.619876,DDH-151,0.62,330.78335751,21.98779316,0,28.54,29.16,0.05922,0.004,0.003948,1
1865.12438,4932.13498,1989.440138,DDH-151,0.34,330.8000832,21.99391121,0,29.16,29.5,0.59574,0.071484,0.019856,1
1938.417966,5036.088228,2240.330222,DDH-152,0.86,342.5,-16.78256667,0,124.8,125.66,0.354,0.0508,0.0156,1
1969.618213,5043.308779,2124.056002,DDH-153,1.5,357.07375102,33.07408759,0,141.23,142.73,3.306,0.1612,0.0196,1
1953.700334,5045.884619,2228.652228,DDH-154,0.7,351.60101904,-13.22606677,0,127.2,127.9,1.37892,0.159872,0.071944,1
1953.600913,5046.558739,2228.812452,DDH-154,0.7,351.6196675,-13.23774741,0,127.9,128.6,0.59952,0.071944,0.015988,1
1993.627456,5072.527413,2230.832402,DDH-155,1,7.2628912,-11.94507038,0,152.2,153.2,0.006,0.031748,0.0016,1
1993.751335,5073.497866,2231.039521,DDH-155,1,7.28618982,-11.96175976,0,153.2,154.2,0.006,0.027832,0.003976,1
1895.390006,5000.82612,2218.424488,DDH-156,0.7,316.42215694,-8.97430235,0,112,112.7,0.78,0.048,0.012,1
1894.913435,5001.327066,2218.533707,DDH-156,0.7,316.43475184,-8.97850996,0,112.7,113.4,0.66,0.044,0.008,1
1894.392745,5001.874641,2218.653126,DDH-156,0.83,316.44851663,-8.98310778,0,113.4,114.23,0.588,0.0472,0.008,1
1929.299837,5027.812141,2201.636539,DDH-157,1,337.28669998,-0.0711002,0,113.95,114.95,11.333872,0.4936,0.1392,1
1928.913765,5028.734608,2201.637763,DDH-157,1,337.29269999,-0.06910021,0,114.95,115.95,1.614,0.0916,0.032,1
